image	question	answers	answer_type	answerable	sum_confidence
VizWiz_val_00001804.jpg	What's in the picture?	[{'answer_confidence': 'yes', 'answer': 'table cups in kitchen'}, {'answer_confidence': 'yes', 'answer': 'cookie tin'}, {'answer_confidence': 'maybe', 'answer': 'scotch gift'}, {'answer_confidence': 'yes', 'answer': 'kitchen table top'}, {'answer_confidence': 'maybe', 'answer': 'tall green metal tin coffee cups'}, {'answer_confidence': 'yes', 'answer': 'cup&juice'}, {'answer_confidence': 'maybe', 'answer': 'container bow'}, {'answer_confidence': 'maybe', 'answer': 'gift tin'}, {'answer_confidence': 'yes', 'answer': 'gift can'}, {'answer_confidence': 'yes', 'answer': 'green tin bow on top about size shape pringles can'}]	other	1	6
VizWiz_val_00002050.jpg	What color is the cabinets?	[{'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white brown borders handles'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}]	other	1	10
VizWiz_val_00002138.jpg	What is this?	[{'answer': 'kitchen floor', 'answer_confidence': 'yes'}, {'answer': 'floor', 'answer_confidence': 'yes'}, {'answer': 'linoleum floor', 'answer_confidence': 'yes'}, {'answer': 'floor', 'answer_confidence': 'yes'}, {'answer': 'kitchen floor', 'answer_confidence': 'yes'}, {'answer': 'linoleum floor', 'answer_confidence': 'yes'}, {'answer': 'linoleum floor', 'answer_confidence': 'yes'}, {'answer': 'tile floor', 'answer_confidence': 'yes'}, {'answer': 'floor', 'answer_confidence': 'maybe'}, {'answer': 'linoleum floor', 'answer_confidence': 'yes'}]	other	1	9
VizWiz_val_00002268.jpg	What is this?	[{'answer_confidence': 'yes', 'answer': 'kitchen'}, {'answer_confidence': 'yes', 'answer': 'living room'}, {'answer_confidence': 'yes', 'answer': 'apartment'}, {'answer_confidence': 'maybe', 'answer': 'apartment'}, {'answer_confidence': 'yes', 'answer': 'kitchen'}, {'answer_confidence': 'yes', 'answer': 'kitchen'}, {'answer_confidence': 'yes', 'answer': 'living room'}, {'answer_confidence': 'yes', 'answer': 'picture kitchen'}, {'answer_confidence': 'yes', 'answer': 'kitchen'}, {'answer_confidence': 'yes', 'answer': 'kitchen'}]	other	1	9
VizWiz_val_00002362.jpg	What type of food is this?	[{'answer': 'frozen meal', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'maybe'}, {'answer': 'frozen meal', 'answer_confidence': 'yes'}, {'answer': 'lean cuisine', 'answer_confidence': 'maybe'}, {'answer': 'vegetables', 'answer_confidence': 'yes'}, {'answer': 'frozen dinner', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}, {'answer': 'unsuitable', 'answer_confidence': 'yes'}, {'answer': 'tv dinner', 'answer_confidence': 'maybe'}, {'answer': 'unanswerable', 'answer_confidence': 'yes'}]	other	1	5
VizWiz_val_00002909.jpg	What is this can?	[{'answer_confidence': 'yes', 'answer': 'unanswerable'}, {'answer_confidence': 'yes', 'answer': 'beans'}, {'answer_confidence': 'yes', 'answer': 'shili'}, {'answer_confidence': 'maybe', 'answer': 'noodles'}, {'answer_confidence': 'no', 'answer': 'unsuitable'}, {'answer_confidence': 'maybe', 'answer': 'beans'}, {'answer_confidence': 'yes', 'answer': 'refried beans'}, {'answer_confidence': 'yes', 'answer': 'unsuitable'}, {'answer_confidence': 'yes', 'answer': 'spaghetti rings'}, {'answer_confidence': 'no', 'answer': 'beans'}]	other	1	6
VizWiz_val_00002926.jpg	Can you please describe this flower to me? Thank you.	[{'answer': 'this rose', 'answer_confidence': 'yes'}, {'answer': 'yellow rose pink edges', 'answer_confidence': 'yes'}, {'answer': 'closed rose pink tips long stem no leaves', 'answer_confidence': 'yes'}, {'answer': 'rose red yellow', 'answer_confidence': 'yes'}, {'answer': 'pink rose', 'answer_confidence': 'yes'}, {'answer': 'rose peach red tips green leaves long green stem', 'answer_confidence': 'maybe'}, {'answer': 'this rose whitish at stem graduating to deep rose pink at tips petals', 'answer_confidence': 'yes'}, {'answer': 'long stemmed red white rose', 'answer_confidence': 'yes'}, {'answer': 'pink rose gradually changing pink color', 'answer_confidence': 'maybe'}, {'answer': 'pink single rose', 'answer_confidence': 'yes'}]	other	1	8
VizWiz_val_00003022.jpg	Excuse me, tell me what you can see exactly in this picture.	[{'answer_confidence': 'yes', 'answer': 'fridge'}, {'answer_confidence': 'yes', 'answer': 'refrigerator'}, {'answer_confidence': 'maybe', 'answer': 'fridge'}, {'answer_confidence': 'maybe', 'answer': 'small refridgerator wicker tray light tiled wall handle sticker on refridgerator'}, {'answer_confidence': 'maybe', 'answer': 'fridge'}, {'answer_confidence': 'yes', 'answer': 'mini fridge'}, {'answer_confidence': 'yes', 'answer': 'mini fridge'}, {'answer_confidence': 'yes', 'answer': 'cabinet doors'}, {'answer_confidence': 'maybe', 'answer': 'white fridge'}, {'answer_confidence': 'yes', 'answer': 'fridge'}]	other	1	6
VizWiz_val_00003324.jpg	What kind of vegetable is this?	[{'answer_confidence': 'yes', 'answer': 'onions'}, {'answer_confidence': 'yes', 'answer': 'white beet'}, {'answer_confidence': 'maybe', 'answer': 'onion'}, {'answer_confidence': 'maybe', 'answer': 'white turnips'}, {'answer_confidence': 'maybe', 'answer': 'leek'}, {'answer_confidence': 'maybe', 'answer': 'radish'}, {'answer_confidence': 'yes', 'answer': 'turnip'}, {'answer_confidence': 'maybe', 'answer': 'green onions'}, {'answer_confidence': 'maybe', 'answer': 'raddish'}, {'answer_confidence': 'yes', 'answer': 'onion'}]	other	1	4
VizWiz_val_00003465.jpg	What's this?	[{'answer': 'water', 'answer_confidence': 'yes'}, {'answer': 'water bottle', 'answer_confidence': 'yes'}, {'answer': 'water bottle', 'answer_confidence': 'yes'}, {'answer': 'water bottle', 'answer_confidence': 'yes'}, {'answer': 'water', 'answer_confidence': 'yes'}, {'answer': 'water bottle', 'answer_confidence': 'yes'}, {'answer': 'bottle water', 'answer_confidence': 'yes'}, {'answer': 'bottle', 'answer_confidence': 'yes'}, {'answer': 'bottle water', 'answer_confidence': 'yes'}, {'answer': 'water bottle', 'answer_confidence': 'yes'}]	other	1	10
VizWiz_val_00003530.jpg	What color are the cabinets?	[{'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white fronts wood trim'}, {'answer_confidence': 'yes', 'answer': 'white brown trim'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}, {'answer_confidence': 'yes', 'answer': 'white'}]	other	1	10
